Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
21,23,2,8,1,0,11,Nagpur,Reliance Energy,521,8.9,4636.9
20,23,1,4,1,0,11,Mumbai,NHPC,317,9.2,2916.4
20,22,0,22,1,0,12,Noida,Power Grid Corp,473,8.2,3878.6
15,23,1,14,1,0,1,Chennai,Neueon Towers / Sujana Towers Ltd.,672,8.8,5913.6
18,22,1,19,1,0,3,Gurgaon,Optibelt Power Transmission India Private Limited,546,8.3,4531.8
9,23,0,10,1,0,8,Hyderabad,NLC India,490,8.4,4116
23,22,1,4,1,0,7,Ahmedabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",461,7.9,3641.9
19,22,2,13,1,0,10,Dahej,TransRail Lighting,506,7.6,3845.6
17,23,2,6,1,0,6,Navi Mumbai,Adani Power Ltd.,490,9.3,4557
15,23,3,10,1,0,12,Gurgaon,Jyoti Structure,576,8.3,4780.8
15,22,1,3,12,0,5,Vadodara,Sunil Hitech Eng,501,7.8,3907.8
5,23,3,14,7,0,8,Nagpur,Jyoti Structure,486,8.9,4325.4
11,23,0,8,1,0,5,Vadodara,Guj Ind Power,444,7.8,3463.2
20,22,3,5,1,0,12,Ratnagiri,Reliance Energy,612,7.4,4528.8
11,23,1,22,1,0,9,Pune,Optibelt Power Transmission India Private Limited,636,9.1,5787.6
19,22,3,8,1,0,6,Pune,Indowind Energy,428,9.1,3894.8
8,18,3,14,1,0,11,Navi Mumbai,Reliance Power,400,9.3,3720
22,23,3,14,1,0,4,Hyderabad,Orient Green,566,8.4,4754.4
6,19,2,8,7,0,1,Kolkata,Sterlite Power Transmission Ltd,349,8.7,3036.3
12,22,3,12,12,0,7,Kolkata,Kalpataru Power,587,8.7,5106.9
14,23,0,15,1,0,3,Vadodara,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,435,7.8,3393
9,19,1,21,1,0,5,New Delhi,SJVN Ltd.,490,8.5,4165
10,20,2,3,1,0,6,Ahmedabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",362,7.9,2859.8
10,19,2,5,1,0,1,Ahmedabad,L&T Transmission & Distribution,366,7.9,2891.4
8,23,0,22,1,0,9,Kolkata,NHPC,405,8.7,3523.5
5,22,2,11,1,0,2,Nagpur,SJVN Ltd.,525,8.9,4672.5
8,19,1,12,1,0,8,New Delhi,Power Grid Corp,365,8.5,3102.5
9,22,1,20,1,0,12,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),649,9.3,6035.7
9,18,3,3,7,0,7,Mumbai,GE T&D India Limited,353,9.2,3247.6
10,17,2,4,1,0,8,Pune,SJVN Ltd.,225,9.1,2047.5
7,23,3,7,1,0,3,Ahmedabad,Adani Power Ltd.,564,7.9,4455.6
21,22,0,22,1,0,11,Mumbai,Optibelt Power Transmission India Private Limited,600,9.2,5520
19,22,3,13,1,0,11,Vadodara,Ringfeder Power Transmission India Pvt. Ltd.,706,7.8,5506.8
22,23,3,15,1,0,4,Pune,Ringfeder Power Transmission India Pvt. Ltd.,752,9.1,6843.2
13,22,0,19,1,0,6,Navi Mumbai,Orient Green,588,9.3,5468.4
8,18,1,4,1,0,1,New Delhi,Jyoti Structure,413,8.5,3510.5
21,23,3,4,1,0,8,Shimla,Indowind Energy,436,7.7,3357.2
6,21,0,3,7,0,8,Ahmedabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",298,7.9,2354.2
23,22,0,18,12,0,12,Shimla,GE T&D India Limited,673,7.7,5182.1
7,21,2,9,1,0,5,Ratnagiri,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,530,7.4,3922
17,22,3,3,1,0,10,Shimla,Sunil Hitech Eng,429,7.7,3303.3
15,23,1,14,12,0,7,Mumbai,Guj Ind Power,594,9.2,5464.8
17,22,0,16,12,0,4,Dahej,Sunil Hitech Eng,569,7.6,4324.4
8,20,0,13,1,0,7,Dahej,Guj Ind Power,334,7.6,2538.4
21,23,3,12,1,0,8,Nagpur,TransRail Lighting,490,8.9,4361
10,17,0,5,1,0,10,Shimla,Neueon Towers / Sujana Towers Ltd.,175,7.7,1347.5
19,23,1,6,1,0,3,Gurgaon,CESC,607,8.3,5038.1
6,22,1,16,1,0,8,New Delhi,Tata Power Company Ltd.,456,8.5,3876
14,22,2,20,1,0,11,Hyderabad,GE T&D India Limited,657,8.4,5518.8
21,23,0,6,1,0,7,Vadodara,Bonfiglioli Transmission Pvt. Ltd.,495,7.8,3861
9,19,3,15,1,0,2,Kolkata,JSW Energy Ltd.,493,8.7,4289.1
8,19,2,5,7,0,1,Kolkata,SJVN Ltd.,326,8.7,2836.2
8,19,2,7,7,0,8,Noida,Ringfeder Power Transmission India Pvt. Ltd.,494,8.2,4050.8
19,23,1,21,1,0,11,Chennai,Guj Ind Power,725,8.8,6380
6,18,0,12,7,0,4,Kolkata,Optibelt Power Transmission India Private Limited,491,8.7,4271.7
15,22,3,8,1,0,9,Hyderabad,Optibelt Power Transmission India Private Limited,427,8.4,3586.8
6,23,1,12,7,0,5,Ahmedabad,NLC India,649,7.9,5127.1
5,17,3,22,1,0,9,New Delhi,CESC,364,8.5,3094
18,22,3,14,1,0,3,Ratnagiri,Kalpataru Power,635,7.4,4699
23,23,2,14,1,0,2,Ratnagiri,Power Grid Corp,596,7.4,4410.4
20,23,2,20,1,0,7,Faridabad,NTPC Pvt. Ltd.,537,8.1,4349.7
15,23,1,15,12,0,12,Kolkata,SJVN Ltd.,535,8.7,4654.5
5,22,1,13,1,0,11,New Delhi,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",314,8.5,2669
5,23,0,15,1,0,11,Chennai,Sunil Hitech Eng,395,8.8,3476
17,23,3,3,1,0,1,Chennai,Neueon Towers / Sujana Towers Ltd.,513,8.8,4514.4
10,18,3,20,1,0,12,Dahej,Sunil Hitech Eng,653,7.6,4962.8
17,22,1,18,1,0,2,Pune,Jaiprakash Power,463,9.1,4213.3
10,21,1,13,1,0,3,Vadodara,Neueon Towers / Sujana Towers Ltd.,479,7.8,3736.2
23,23,2,12,1,0,12,Nagpur,CESC,579,8.9,5153.1
20,23,1,9,1,0,1,Faridabad,Ringfeder Power Transmission India Pvt. Ltd.,386,8.1,3126.6
7,20,3,16,1,0,12,Faridabad,Bonfiglioli Transmission Pvt. Ltd.,578,8.1,4681.8
18,22,0,7,1,0,1,Faridabad,TransRail Lighting,488,8.1,3952.8
6,19,3,17,1,0,7,Nagpur,Kalpataru Power,604,8.9,5375.6
9,23,0,3,1,0,8,Faridabad,KEC International,228,8.1,1846.8
11,23,0,7,1,0,6,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,394,8.4,3309.6
19,22,2,16,1,0,5,Vadodara,Jyoti Structure,541,7.8,4219.8
18,22,2,18,1,0,3,Pune,Tata Power Company Ltd.,543,9.1,4941.3
7,17,0,12,1,0,2,Nagpur,Reliance Energy,389,8.9,3462.1
11,22,1,12,1,0,9,Vadodara,Adani Power Ltd.,338,7.8,2636.4
11,23,0,20,1,0,12,New Delhi,Neueon Towers / Sujana Towers Ltd.,497,8.5,4224.5
23,22,0,14,1,0,12,Pune,Guj Ind Power,571,9.1,5196.1
10,22,2,9,1,0,6,Nagpur,NLC India,455,8.9,4049.5
23,22,3,20,1,0,7,Nagpur,NHPC,629,8.9,5598.1
21,22,2,15,1,0,10,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),460,9.3,4278
15,22,3,14,12,0,1,Ahmedabad,Jaiprakash Power,805,7.9,6359.5
7,21,3,8,1,0,11,Shimla,Orient Green,541,7.7,4165.7
17,22,2,5,1,0,7,Ratnagiri,Sunil Hitech Eng,413,7.4,3056.2
8,21,2,19,1,0,4,Gurgaon,GE T&D India Limited,573,8.3,4755.9
23,23,0,3,1,0,7,Ahmedabad,TransRail Lighting,552,7.9,4360.8
10,22,0,17,1,0,11,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,465,7.9,3673.5
15,23,1,17,1,0,5,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",537,8.9,4779.3
18,22,3,7,1,0,12,New Delhi,Guj Ind Power,560,8.5,4760
22,22,3,3,1,0,3,Nagpur,KEC International,392,8.9,3488.8
16,22,2,3,1,0,10,Navi Mumbai,Neueon Towers / Sujana Towers Ltd.,337,9.3,3134.1
7,18,1,13,1,0,1,Kolkata,Torrent Power Ltd.,477,8.7,4149.9
9,19,2,20,1,0,2,Hyderabad,TransRail Lighting,488,8.4,4099.2
11,22,0,13,1,0,4,Ahmedabad,TransRail Lighting,490,7.9,3871
18,22,1,5,12,0,4,Chennai,Reliance Energy,626,8.8,5508.8
15,22,0,7,1,0,9,Ahmedabad,Jyoti Structure,453,7.9,3578.7
13,22,0,21,12,0,6,Mumbai,Sunil Hitech Eng,503,9.2,4627.6
15,23,3,15,1,0,12,Dahej,Reliance Power,514,7.6,3906.4
20,22,2,3,12,0,7,Shimla,Torrent Power Ltd.,480,7.7,3696
11,22,3,16,12,0,12,Nagpur,TransRail Lighting,638,8.9,5678.2
5,19,0,13,1,0,12,Dahej,Sterlite Power Transmission Ltd,257,7.6,1953.2
22,23,3,21,1,0,5,Noida,Sterlite Power Transmission Ltd,676,8.2,5543.2
13,23,2,8,1,0,10,Kolkata,Neueon Towers / Sujana Towers Ltd.,633,8.7,5507.1
12,23,0,9,1,0,1,Noida,TransRail Lighting,350,8.2,2870
22,22,2,18,1,0,3,Shimla,Kalpataru Power,656,7.7,5051.2
15,23,3,8,12,0,1,Nagpur,Torrent Power Ltd.,554,8.9,4930.6
23,22,1,11,1,0,10,Gurgaon,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,675,8.3,5602.5
21,23,3,21,12,0,8,New Delhi,Sunil Hitech Eng,690,8.5,5865
19,22,3,19,1,0,12,Pune,JSW Energy Ltd.,733,9.1,6670.3
7,21,0,6,1,0,7,Pune,Adani Power Ltd.,438,9.1,3985.8
14,23,2,16,1,0,5,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",709,8.7,6168.3
18,23,3,17,1,0,9,Ratnagiri,Sterlite Power Transmission Ltd,650,7.4,4810
19,23,0,7,1,0,9,Faridabad,Optibelt Power Transmission India Private Limited,350,8.1,2835
5,19,0,9,1,0,1,Kolkata,Guj Ind Power,201,8.7,1748.7
16,22,0,15,1,0,3,Pune,Ringfeder Power Transmission India Pvt. Ltd.,628,9.1,5714.8
15,23,1,7,1,0,2,Faridabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",460,8.1,3726
11,23,3,21,1,0,10,Pune,Adani Power Ltd.,573,9.1,5214.3
15,22,0,6,1,0,1,Ahmedabad,NHPC,526,7.9,4155.4
17,22,1,17,1,0,1,Pune,KEC International,529,9.1,4813.9
6,22,0,9,1,0,7,Gurgaon,Jaiprakash Power,437,8.3,3627.1
5,19,1,9,7,0,11,New Delhi,Adani Power Ltd.,516,8.5,4386
20,23,3,10,1,0,8,Pune,Sterlite Power Transmission Ltd,675,9.1,6142.5
5,23,1,5,1,0,11,Ratnagiri,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),360,7.4,2664
20,22,1,17,1,0,7,Shimla,Ringfeder Power Transmission India Pvt. Ltd.,575,7.7,4427.5
5,22,3,13,1,0,12,Ahmedabad,Indowind Energy,409,7.9,3231.1
5,18,0,11,1,0,11,Chennai,NTPC Pvt. Ltd.,187,8.8,1645.6
16,23,2,16,12,0,3,Nagpur,Unitech Power Transmission Ltd.,597,8.9,5313.3
10,19,0,22,1,0,1,Noida,Jaiprakash Power,383,8.2,3140.6
12,23,3,9,1,0,9,Kolkata,KEC International,389,8.7,3384.3
12,22,3,5,1,0,6,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,370,8.3,3071
17,22,3,5,12,0,10,Shimla,Reliance Energy,735,7.7,5659.5
14,22,3,6,1,0,7,Navi Mumbai,Guj Ind Power,560,9.3,5208
23,22,3,22,1,0,9,Pune,L&T Transmission & Distribution,811,9.1,7380.1
22,23,2,15,1,0,8,Mumbai,NHPC,695,9.2,6394
8,20,3,14,7,0,2,Dahej,Reliance Energy,499,7.6,3792.4
9,23,3,15,7,0,7,Gurgaon,Unitech Power Transmission Ltd.,529,8.3,4390.7
19,22,0,7,12,0,5,Dahej,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",636,7.6,4833.6
23,23,2,18,1,0,4,Hyderabad,Reliance Energy,665,8.4,5586
19,23,3,16,12,0,7,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),646,8.4,5426.4
23,23,0,21,1,0,10,Nagpur,KEC International,537,8.9,4779.3
16,22,0,4,1,0,6,Shimla,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",470,7.7,3619
17,22,3,19,1,0,11,Navi Mumbai,Unitech Power Transmission Ltd.,732,9.3,6807.6
14,23,2,9,12,0,8,Mumbai,NTPC Pvt. Ltd.,750,9.2,6900
13,23,0,17,1,0,5,Noida,Neueon Towers / Sujana Towers Ltd.,528,8.2,4329.6
20,23,3,17,1,0,7,Pune,Jyoti Structure,568,9.1,5168.8
10,20,2,10,1,0,2,Vadodara,NHPC,278,7.8,2168.4
7,17,2,10,1,0,10,Ratnagiri,Kalpataru Power,407,7.4,3011.8
20,22,3,9,1,0,7,Ratnagiri,NLC India,584,7.4,4321.6
5,18,1,11,1,0,4,New Delhi,Bonfiglioli Transmission Pvt. Ltd.,267,8.5,2269.5
22,23,3,7,1,0,11,Vadodara,NTPC Pvt. Ltd.,578,7.8,4508.4
15,23,1,5,1,0,11,Shimla,Guj Ind Power,519,7.7,3996.3
22,22,0,13,1,0,8,Gurgaon,GE T&D India Limited,571,8.3,4739.3
22,22,2,20,1,0,5,Gurgaon,Adani Power Ltd.,569,8.3,4722.7
19,23,1,5,1,0,5,Kolkata,Adani Power Ltd.,588,8.7,5115.6
19,22,2,12,1,0,8,Shimla,Adani Power Ltd.,524,7.7,4034.8
11,22,1,14,12,0,2,Dahej,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",450,7.6,3420
16,23,2,20,1,0,5,Faridabad,Kalpataru Power,698,8.1,5653.8
17,22,1,4,1,0,5,Chennai,Torrent Power Ltd.,392,8.8,3449.6
22,22,0,8,1,0,9,Pune,Jyoti Structure,494,9.1,4495.4
18,23,2,4,12,0,5,Pune,Optibelt Power Transmission India Private Limited,692,9.1,6297.2
18,22,3,5,1,0,5,Nagpur,SJVN Ltd.,574,8.9,5108.6
11,23,2,9,1,0,2,Hyderabad,Orient Green,397,8.4,3334.8
16,22,1,22,12,0,8,Ahmedabad,KEC International,749,7.9,5917.1
15,23,0,9,1,0,4,Shimla,JSW Energy Ltd.,393,7.7,3026.1
16,22,3,7,1,0,10,Pune,Unitech Power Transmission Ltd.,612,9.1,5569.2
19,23,1,15,1,0,8,Shimla,Adani Power Ltd.,533,7.7,4104.1
15,23,0,19,1,0,8,Pune,Tata Power Company Ltd.,551,9.1,5014.1
17,22,1,7,1,0,7,Shimla,Guj Ind Power,403,7.7,3103.1
18,22,1,13,1,0,8,Vadodara,Jyoti Structure,601,7.8,4687.8
22,23,1,5,1,0,10,Faridabad,Kalpataru Power,460,8.1,3726
8,18,2,12,1,0,9,Nagpur,NLC India,469,8.9,4174.1
5,18,3,6,1,0,1,Vadodara,Orient Green,511,7.8,3985.8
21,23,0,13,12,0,1,Gurgaon,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),644,8.3,5345.2
21,22,1,22,12,0,7,New Delhi,TransRail Lighting,661,8.5,5618.5
20,23,1,13,1,0,11,Navi Mumbai,Guj Ind Power,544,9.3,5059.2
13,22,1,14,1,0,11,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",352,8.7,3062.4
20,23,2,8,1,0,12,Faridabad,Power Grid Corp,632,8.1,5119.2
6,20,1,3,7,0,9,Nagpur,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,482,8.9,4289.8
19,23,0,20,1,0,7,Pune,SJVN Ltd.,651,9.1,5924.1
21,22,1,10,1,0,2,Navi Mumbai,Orient Green,331,9.3,3078.3
10,23,2,22,1,0,2,Ahmedabad,Tata Power Company Ltd.,601,7.9,4747.9
10,21,2,22,1,0,10,Vadodara,Torrent Power Ltd.,714,7.8,5569.2
16,23,0,17,1,0,7,Gurgaon,Torrent Power Ltd.,405,8.3,3361.5
19,23,1,20,1,0,6,New Delhi,Orient Green,508,8.5,4318
14,22,3,15,12,0,11,Gurgaon,Unitech Power Transmission Ltd.,541,8.3,4490.3
6,19,2,12,7,0,1,Chennai,Kalpataru Power,457,8.8,4021.6
12,22,2,16,1,0,6,Gurgaon,Sunil Hitech Eng,415,8.3,3444.5
10,18,3,6,1,0,5,Pune,JSW Energy Ltd.,358,9.1,3257.8
6,17,1,4,1,0,6,Gurgaon,Jaiprakash Power,225,8.3,1867.5
14,22,3,16,1,0,12,Faridabad,Sunil Hitech Eng,678,8.1,5491.8
16,23,0,10,1,0,9,Dahej,Orient Green,366,7.6,2781.6
7,17,2,21,1,0,7,Shimla,Ringfeder Power Transmission India Pvt. Ltd.,396,7.7,3049.2
13,22,2,4,1,0,8,Dahej,TransRail Lighting,527,7.6,4005.2
11,23,1,3,1,0,3,Kolkata,Adani Power Ltd.,345,8.7,3001.5
20,22,2,5,1,0,5,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),414,9.3,3850.2
14,23,0,17,1,0,7,Vadodara,Adani Power Ltd.,553,7.8,4313.4
8,20,0,19,1,0,5,Kolkata,Ringfeder Power Transmission India Pvt. Ltd.,501,8.7,4358.7
21,22,0,21,1,0,11,Nagpur,Ringfeder Power Transmission India Pvt. Ltd.,495,8.9,4405.5
7,23,0,7,1,0,7,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",414,9.2,3808.8
9,17,3,5,7,0,3,Hyderabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),502,8.4,4216.8
10,20,1,11,7,0,8,Gurgaon,Orient Green,423,8.3,3510.9
15,23,2,20,12,0,9,Dahej,Guj Ind Power,656,7.6,4985.6
6,18,0,5,1,0,12,Ahmedabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),292,7.9,2306.8
11,23,3,14,1,0,3,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,588,8.3,4880.4
23,23,1,18,1,0,1,Gurgaon,JSW Energy Ltd.,522,8.3,4332.6
13,23,3,16,1,0,12,Pune,Reliance Power,699,9.1,6360.9
20,22,2,20,1,0,2,Pune,NLC India,705,9.1,6415.5
21,22,0,14,1,0,4,Shimla,TransRail Lighting,611,7.7,4704.7
12,23,1,17,1,0,9,Kolkata,JSW Energy Ltd.,462,8.7,4019.4
23,22,2,20,1,0,11,Navi Mumbai,NTPC Pvt. Ltd.,545,9.3,5068.5
19,22,3,7,12,0,4,Chennai,Kalpataru Power,715,8.8,6292
20,22,1,10,12,0,8,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,688,8.3,5710.4
21,23,3,13,1,0,8,Mumbai,Reliance Energy,756,9.2,6955.2
14,23,1,6,12,0,12,Gurgaon,Indowind Energy,619,8.3,5137.7
21,23,3,21,1,0,4,Hyderabad,NTPC Pvt. Ltd.,671,8.4,5636.4
7,19,0,21,1,0,2,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),287,9.2,2640.4
11,23,2,15,1,0,8,Gurgaon,Jaiprakash Power,615,8.3,5104.5
13,23,1,9,1,0,9,Noida,Unitech Power Transmission Ltd.,388,8.2,3181.6
7,20,2,22,1,0,9,Pune,Guj Ind Power,522,9.1,4750.2
11,22,1,20,1,0,8,Dahej,KEC International,525,7.6,3990
20,23,1,7,12,0,11,Navi Mumbai,Orient Green,695,9.3,6463.5
6,19,2,14,1,0,7,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",410,8.7,3567
8,17,1,6,1,0,12,Faridabad,L&T Transmission & Distribution,292,8.1,2365.2
8,21,0,15,7,0,2,Chennai,GE T&D India Limited,522,8.8,4593.6
10,20,2,4,1,0,11,Dahej,KEC International,467,7.6,3549.2
21,23,3,8,1,0,12,Kolkata,Kalpataru Power,505,8.7,4393.5
9,21,0,20,1,0,7,Hyderabad,JSW Energy Ltd.,627,8.4,5266.8
23,22,2,15,1,0,2,Vadodara,Unitech Power Transmission Ltd.,669,7.8,5218.2
18,22,2,11,1,0,2,Dahej,SJVN Ltd.,538,7.6,4088.8
12,23,3,21,1,0,9,Kolkata,NHPC,490,8.7,4263
6,18,2,12,1,0,11,Shimla,NHPC,344,7.7,2648.8
21,22,2,14,12,0,4,Hyderabad,Unitech Power Transmission Ltd.,564,8.4,4737.6
19,23,1,15,1,0,4,Nagpur,GE T&D India Limited,643,8.9,5722.7
20,23,2,10,1,0,4,Ratnagiri,Torrent Power Ltd.,655,7.4,4847
12,22,3,11,1,0,8,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),573,9.3,5328.9
16,23,0,3,12,0,6,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",491,8.9,4369.9
11,22,0,5,12,0,5,Ahmedabad,TransRail Lighting,611,7.9,4826.9
16,23,2,4,1,0,1,Vadodara,NTPC Pvt. Ltd.,459,7.8,3580.2
15,22,3,18,12,0,4,Ahmedabad,Unitech Power Transmission Ltd.,700,7.9,5530
15,23,0,22,1,0,4,Faridabad,Adani Power Ltd.,505,8.1,4090.5
12,22,1,11,12,0,9,Faridabad,Adani Power Ltd.,467,8.1,3782.7
17,22,2,15,12,0,12,New Delhi,Reliance Power,584,8.5,4964
17,22,0,19,1,0,12,Navi Mumbai,Jyoti Structure,525,9.3,4882.5
9,17,1,3,1,0,8,Dahej,Reliance Power,263,7.6,1998.8
19,22,1,17,1,0,5,Noida,JSW Energy Ltd.,513,8.2,4206.6
11,22,1,14,1,0,9,Nagpur,Neueon Towers / Sujana Towers Ltd.,583,8.9,5188.7
22,23,0,21,1,0,1,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",576,9.1,5241.6
8,23,1,10,1,0,5,Noida,Unitech Power Transmission Ltd.,379,8.2,3107.8
18,23,0,11,1,0,6,Shimla,CESC,491,7.7,3780.7
16,22,1,5,12,0,10,Faridabad,Neueon Towers / Sujana Towers Ltd.,460,8.1,3726
9,20,2,17,1,0,12,Ratnagiri,JSW Energy Ltd.,595,7.4,4403
20,23,0,15,1,0,11,Nagpur,Ringfeder Power Transmission India Pvt. Ltd.,661,8.9,5882.9
8,18,3,10,1,0,11,New Delhi,GE T&D India Limited,296,8.5,2516
13,22,0,8,1,0,7,Ratnagiri,Adani Power Ltd.,459,7.4,3396.6
8,22,1,11,1,0,6,Hyderabad,Ringfeder Power Transmission India Pvt. Ltd.,447,8.4,3754.8
20,23,0,4,12,0,3,Hyderabad,Neueon Towers / Sujana Towers Ltd.,640,8.4,5376
22,23,1,3,12,0,6,Ratnagiri,Neueon Towers / Sujana Towers Ltd.,596,7.4,4410.4
9,20,1,4,7,0,1,Faridabad,Indowind Energy,398,8.1,3223.8
18,23,2,21,12,0,11,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),743,9.2,6835.6
7,18,2,10,1,0,3,Gurgaon,JSW Energy Ltd.,514,8.3,4266.2
20,23,2,12,1,0,7,Chennai,L&T Transmission & Distribution,686,8.8,6036.8
21,23,0,12,1,0,7,Mumbai,Optibelt Power Transmission India Private Limited,501,9.2,4609.2
13,23,1,15,1,0,7,New Delhi,Neueon Towers / Sujana Towers Ltd.,481,8.5,4088.5
22,23,3,11,1,0,1,Faridabad,L&T Transmission & Distribution,681,8.1,5516.1
5,17,0,6,7,0,11,Ratnagiri,GE T&D India Limited,210,7.4,1554
20,23,1,13,1,0,12,Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,507,9.2,4664.4
21,22,0,8,12,0,3,Shimla,Guj Ind Power,605,7.7,4658.5
16,23,1,15,1,0,11,Vadodara,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),657,7.8,5124.6
10,22,2,21,1,0,10,Nagpur,Jaiprakash Power,578,8.9,5144.2
23,22,2,8,1,0,7,Gurgaon,Reliance Power,557,8.3,4623.1
8,23,2,8,1,0,7,Gurgaon,Jyoti Structure,597,8.3,4955.1
7,19,2,19,1,0,9,Shimla,Reliance Energy,494,7.7,3803.8
10,22,1,14,1,0,5,Dahej,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",621,7.6,4719.6
8,21,3,9,7,0,10,Shimla,TransRail Lighting,630,7.7,4851
22,23,2,8,1,0,1,Kolkata,Sunil Hitech Eng,658,8.7,5724.6
23,22,2,18,12,0,12,Hyderabad,GE T&D India Limited,799,8.4,6711.6
10,19,3,8,1,0,11,Ahmedabad,Adani Power Ltd.,411,7.9,3246.9
16,23,1,5,12,0,8,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,519,7.7,3996.3
7,19,0,10,1,0,6,Navi Mumbai,Orient Green,258,9.3,2399.4
18,22,0,3,12,0,4,Ratnagiri,Indowind Energy,524,7.4,3877.6
23,22,2,21,12,0,2,Gurgaon,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,625,8.3,5187.5
21,22,1,20,1,0,4,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",642,7.8,5007.6
7,22,1,16,1,0,9,Hyderabad,Power Grid Corp,501,8.4,4208.4
7,19,2,6,1,0,4,Gurgaon,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",395,8.3,3278.5
5,21,3,13,7,0,9,Ahmedabad,Unitech Power Transmission Ltd.,589,7.9,4653.1
23,22,3,17,12,0,4,Ahmedabad,Torrent Power Ltd.,730,7.9,5767
8,21,3,19,1,0,1,Kolkata,Indowind Energy,611,8.7,5315.7
11,22,3,19,1,0,2,Mumbai,Neueon Towers / Sujana Towers Ltd.,536,9.2,4931.2
14,23,2,18,1,0,10,Shimla,KEC International,594,7.7,4573.8
14,22,1,3,1,0,4,Ahmedabad,NTPC Pvt. Ltd.,300,7.9,2370
21,23,2,11,12,0,5,Chennai,L&T Transmission & Distribution,555,8.8,4884
22,22,2,7,1,0,10,Faridabad,Guj Ind Power,602,8.1,4876.2
20,23,2,8,1,0,5,Vadodara,NHPC,507,7.8,3954.6
8,20,2,7,1,0,2,Vadodara,Kalpataru Power,280,7.8,2184
6,19,3,10,1,0,2,Hyderabad,Torrent Power Ltd.,445,8.4,3738
17,22,0,21,1,0,1,Navi Mumbai,Bonfiglioli Transmission Pvt. Ltd.,634,9.3,5896.2
5,18,2,22,1,0,1,Noida,Tata Power Company Ltd.,363,8.2,2976.6
6,21,2,7,1,0,12,Chennai,Ringfeder Power Transmission India Pvt. Ltd.,281,8.8,2472.8
6,18,0,14,1,0,6,Navi Mumbai,NLC India,341,9.3,3171.3
23,23,0,15,1,0,1,Navi Mumbai,Power Grid Corp,478,9.3,4445.4
16,23,3,15,12,0,3,Pune,JSW Energy Ltd.,655,9.1,5960.5
11,23,1,20,12,0,3,Navi Mumbai,Reliance Energy,799,9.3,7430.7
17,22,3,18,1,0,1,Shimla,Bonfiglioli Transmission Pvt. Ltd.,715,7.7,5505.5
21,23,3,5,1,0,7,Noida,Reliance Power,546,8.2,4477.2
23,22,1,6,1,0,7,Vadodara,Adani Power Ltd.,547,7.8,4266.6
16,23,2,5,12,0,10,Chennai,KEC International,705,8.8,6204
21,22,0,5,12,0,5,Ahmedabad,Jaiprakash Power,593,7.9,4684.7
5,20,2,13,7,0,7,Faridabad,NLC India,515,8.1,4171.5
